"cisi","local_text","source_visibility_hint","status","source_report","source_path","note"
"H-942","+520-220-016+","source_visible_singleton_016_control_target_side_mapping_caution","local_visual_sign_count_inference_only","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_singleton_controls\derived\h942\H942_A_signband_from_cisi_pakistan_n374.png","non-034/non-415 singleton signband control; not terminal component / rejected: terminal-isolated comparison/sign value/allograph claim"
"H-942","","weak_source_local220_candidate","weak_source_local220_candidate","data/open_prototype/reports/parpola_sign60_local220_middle_crop_manifest.csv","tmp/parpola_sign60_local220_middle_probe/neutral_packet/N008.png","H-942 A middle component candidate from local +520-220-016+"
"H-942","","weak_source_local220_candidate","weak_source_local220_candidate","data/open_prototype/reports/parpola_sign60_local220_strict_fish_family_manifest.csv","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S012.png","H-942 A middle component candidate from local +520-220-016+"
"K-150","+520-220-006+","secondary_catalogue_lead_only_not_source_grade","acquisition_target_only","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv","","not_in_current_blind_packet | source_gated_singleton_006_control"
"K-150","+520-220-006+","local_row_only","local_corpus_row","data/open_prototype/reports/lipi_034_m1206_k150_h942_singleton_controls_source_gate_sources.csv","data/open_prototype/lipi/metadata_filtered.csv","exact-frame singleton 006 acquisition target"
"K-150","+520-220-006+","negative_public_route_result","negative_public_route_probe","data/open_prototype/reports/lipi_034_m1206_k150_h942_singleton_controls_source_gate_sources.csv","not_applicable","justify later CISI 3.x/equivalent source lookup"
"K-150","+520-220-006+","not_in_checked_cisi1_range","range_exclusion","data/open_prototype/reports/lipi_034_m1206_k150_h942_singleton_controls_source_gate_sources.csv","tmp/cisi_xml/Corpus of Indus Seals and Inscriptions. Collections in India_djvu.txt","route K-150 to later supplement/equivalent source acquisition"
"K-150","+520-220-006+","secondary_catalogue_lead_only","supplementary_catalogue_lead","data/open_prototype/reports/lipi_034_m1206_k150_h942_singleton_controls_source_gate_sources.csv","tmp/m1206_bhaskar/S1-IndusZoomorphicIconCatalogue.txt","iconography/acquisition corroboration"
"M-1206","+520-220-034+","source_visible","admissible_positive_target","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv","","terminal_component_core_T002_T003 | target_terminal_stability"
"M-1206","+520-220-034+","source_grade_target","source_visible_target","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T002.png","target terminal visual-class evidence / rejected: sign value/translation"
"M-1206","+520-220-034+","source_grade_target","source_visible_target","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T003.png","target terminal visual-class evidence; not independent object / rejected: independent recurrence"
"M-1206","+520-220-034+","source_grade_target","source_visible_target","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T011.png","negative/distractor control only / rejected: terminal-component evidence"
"M-1206","+520-220-034+","source_grade_target","source_visible_target","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T012.png","negative/distractor control only / rejected: terminal-component evidence"
"M-1206","+520-220-034+","source_visible_composite_label_warning","","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T001.png"," / rejected: "
"M-1206","","source_crop_visible","diagnostic_A_or_a_signband_crop","data/open_prototype/reports/lipi_034_m1206_terminal_triad_visual_inputs.csv","tmp/m1206_terminal_triad_source_recheck/derived/m1206_A_signband_v2.png","A/a crop shows the same three-sign band in mirrored order. Orientation must be resolved before assigning local 520/220/034."
"M-1206","","source_crop_visible","diagnostic_AE_signband_crop","data/open_prototype/reports/lipi_034_m1206_terminal_triad_visual_inputs.csv","tmp/m1206_terminal_triad_source_recheck/derived/m1206_AE_signband_v2.png","A+E view shows a three-sign band with vertical-stroke group, central angled/leaf sign, and triangle-like sign."
"M-1206","","source_crop_visible","diagnostic_edge_row_crop","data/open_prototype/reports/lipi_034_m1206_terminal_triad_visual_inputs.csv","tmp/m1206_terminal_triad_source_recheck/derived/m1206_e1_edge_row_v2.png","Long side inscription labelled M-1206 e(1) is visible on the same object and is compatible with the existence of the local six-sign companion row."
"M-1206","","source_data_locator_visible","data_row_crop","data/open_prototype/reports/lipi_034_m1206_terminal_triad_visual_inputs.csv","tmp/m1206_terminal_triad_source_recheck/derived/m1206_data_rows_xmlcoords.png","Data row locates M-1206 and source references; OCR is noisy and not used as clean transcription."
"M-1206","","source_visible_all_sides","full_page_raster","data/open_prototype/reports/lipi_034_m1206_terminal_triad_visual_inputs.csv","tmp/m1206_terminal_triad_source_recheck/cisi_pakistan_n181_w2000.jpg","Page labels M-1206 A+E, A, a, E, e(1), B, C, D, F."
"M-1912","+520-220-003+","secondary_visual_lead_only_not_source_grade","required_next_control","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv","","not_in_current_blind_packet | missing_same_site_non034_terminal_acquisition_target"
"M-1912","","secondary_visual_only","secondary_visual_page","data/open_prototype/reports/lipi_034_m1206_terminal_triad_visual_inputs.csv","tmp/m1206_bhaskar/bulletin_page15-15.png","M-1912 remains a secondary drawing lead pending CISI 3.1 or equivalent raw source."
"M-37","+520-220-415+","source_visible_same_site","admissible_same_site_control","data/open_prototype/reports/lipi_034_m1206_allograph_decision_gate_evidence.csv","","clean_strict_signband_recut_comb_rake_subform | same_site_415_control_not_closest_m1206_match"
"M-37","+520-220-415+","source_grade_exact_side","single_side_seal","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_034_terminal_component_gate\derived\T013.png","negative/distractor control only / rejected: terminal-component evidence"
"M-37","+520-220-415+","source_grade_exact_side","","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_m37_terminal_recut_gate\derived\M37_A_terminal_minimal_core_from_signband.png"," / rejected: "
"M-37","+520-220-415+","source_grade_exact_side","single_side_seal","data/open_prototype/reports/lipi_034_m1206_source_normalized_component_packet_inputs.csv","C:\Users\Acer\OneDrive\Documents\ivc\tmp\m1206_m37_terminal_recut_gate\derived\M37_A_terminal_strict_core_from_signband.png","clean same-site 415 comb/rake control / rejected: closest visual match claim by itself"
"M-37","","source_crop_visible","diagnostic_signband_crop","data/open_prototype/reports/lipi_034_m1206_terminal_triad_visual_inputs.csv","tmp/m1206_terminal_triad_source_recheck/derived/m37_A_signband_v2.png","Close crop shows a three-sign band with triangle-like, central leaf/angled, and comb/stroke-cluster outer signs. Full page controls side labels."
"M-37","","source_visible","full_page_raster","data/open_prototype/reports/lipi_034_m1206_terminal_triad_visual_inputs.csv","tmp/m1206_terminal_triad_source_recheck/cisi_india_n54_w2000.jpg","Page labels M-37 A and M-37 a under unicorn III / SEALS / MOHENJO-DARO 35-37."
"M-37","","source_local220_candidate","source_local220_candidate","data/open_prototype/reports/parpola_sign60_local220_middle_crop_manifest.csv","tmp/parpola_sign60_local220_middle_probe/neutral_packet/N005.png","M-37 middle component from local +520-220-415+"
"M-37","","source_local220_candidate","source_local220_candidate","data/open_prototype/reports/parpola_sign60_local220_strict_fish_family_manifest.csv","tmp/parpola_sign60_local220_strict_probe/neutral_packet/S009.png","M-37 middle component from local +520-220-415+"
