date,packet_id,blind_id,cisi,source_view,role,truth_class,target_text,expected_token_count,source_crop,enhanced_crop,masked_ocr_word_boxes,blind_image_sha256,source_note,accepted_claims_increment
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_011,M-171,cisi_india_n85_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+407-061-740-923-233-806-060-692+,8,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_171_cisi_india_n85_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_171_cisi_india_n85_label_masked_context_enhanced_x2.png,8,d91268f31b6138fa512a57dbf0356753dbec2453dd789f757a8a9ecd3987a0ff,"Forger-recommended routed real negative. Context crop is cut from raw page, with all OCR word boxes inside the crop masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_012,M-527,cisi_india_n167_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+001-740-923-033-706+,5,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_527_cisi_india_n167_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_527_cisi_india_n167_label_masked_context_enhanced_x2.png,10,1b1d43bd99c5a0a0e1238df0761145c3ded8f10a244dcddfa9e3eac6c8eb378f,"Forger-recommended routed real negative. Context crop is cut from raw page, with all OCR word boxes inside the crop masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_013,M-567,cisi_india_n34_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+407-061-845-240-798+,5,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_567_cisi_india_n34_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_567_cisi_india_n34_label_masked_context_enhanced_x2.png,270,1860c0ea84b348c9e0733c2f64e2d181c8d5b1f46dd64fed1968327381f58bcf,"Forger-recommended routed real negative. Context crop is cut from raw page, with all OCR word boxes inside the crop masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_014,M-1310,a_recut_signband,primary_target_recut,tier1_directionality_candidate_recut_after_v1_edge_fragments,+407-004-001-740-407-590-235+,7,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1310_a_recut_signband_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1310_a_recut_signband_enhanced_x2.png,0,46be6eaff16cb0da57731800b7052a4de3995e139ea67c9a403bddb874c5afcc,Tighter M-1310 impression recut after v1 reviewer noted edge fragments and counted 8 against 7.,0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_015,M-1523,cisi_pakistan_n253_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+407-585-033-705-233-235-806+,7,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1523_cisi_pakistan_n253_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1523_cisi_pakistan_n253_label_masked_context_enhanced_x2.png,19,61963840bb7c77b5e305a71dabdd0939a3a285c9feae72c1478c9941a941f042,"Forger-recommended routed real negative. Context crop is cut from raw page, with all OCR word boxes inside the crop masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_016,H-654,A_recut_signband,primary_target_recut,tier1_directionality_candidate_recut_after_v1_overcount,+405-061-740-806+,4,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/H_654_A_recut_signband_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/H_654_A_recut_signband_enhanced_x2.png,0,0dfbc969021305df7102ccbff1d089b3de2b57130c02eb84d3a0012575e5ab30,"Tighter H-654 recut after v1 reviewer split 4 vs 5. Single public view, so not paired-view promotion-capable alone.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_017,SYN-BLANK-2,synthetic_blank_surface_control,synthetic_blank_auxiliary,auxiliary_control_not_real_negative_denominator,,0,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/SYN_BLANK_2_synthetic_blank_surface_control_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/SYN_BLANK_2_synthetic_blank_surface_control_enhanced_x2.png,0,ee2fd57176400cc045c56b489ba8ee86ac82b597d3f3c73082066230403a4140,Synthetic blank/non-script surface. Reviewers should reject as non-boxable; never counts toward the real-negative denominator.,0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_018,M-525,cisi_pakistan_n40_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+423-003-001-900-740-690-435-255+,8,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_525_cisi_pakistan_n40_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_525_cisi_pakistan_n40_label_masked_context_enhanced_x2.png,12,0569c2b0e0a67c3f61ba92e4e030e89279e2c6befaf5988c54c85140242428e7,"Forger-recommended routed real negative. Context crop is cut from raw page, with all OCR word boxes inside the crop masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_019,SYN-LEAK-1,synthetic_label_leak_sentinel,synthetic_leak_sentinel_auxiliary,auxiliary_control_not_real_negative_denominator,,0,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/SYN_LEAK_1_synthetic_label_leak_sentinel_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/SYN_LEAK_1_synthetic_label_leak_sentinel_enhanced_x2.png,0,7eb01e79da492ad807aa7db5f8e21fc95b815324d664529ac806508a27f3b5ac,Deliberate fake metadata leak sentinel. Reviewers must flag label_leak=yes; never counts toward the real-negative denominator.,0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_020,M-1320,A_diagnostic_v1_failed,primary_target_recut,tier1_route_candidate_v1_target_overcount_failure,+527-555-231-240-798+,5,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1320_A_diagnostic_v1_failed_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1320_A_diagnostic_v1_failed_enhanced_x2.png,0,e95900943cf9f98704f33d2bf4454a3626f801b4e0d4c0f93c4507358d5ed202,"Fresh raw-page crop retained as a primary target under the forger protocol, but v1 overcount makes it a high-risk failure witness.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_021,M-1458,cisi_pakistan_n234_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+407-004-001-617-142+,5,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1458_cisi_pakistan_n234_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1458_cisi_pakistan_n234_label_masked_context_enhanced_x2.png,17,9a6a50f2e234ee03beb81398fc9596f8e15e0b4176005db050e06ba50649c43a,"Forger-recommended routed real negative. Context crop is cut from raw page, with all OCR word boxes inside the crop masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_022,M-365,cisi_india_n126_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+527-550-033-705-220-415-060-550+,8,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_365_cisi_india_n126_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_365_cisi_india_n126_label_masked_context_enhanced_x2.png,8,ffc53275153b0e066eeba278ef966c448bfbe855c75662ba9952520954c61a12,"Forger-recommended routed real negative. Context crop is cut from raw page, with all OCR word boxes inside the crop masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_023,H-158,cisi_india_n237_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+154-806-472-001-740-405-590+,7,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/H_158_cisi_india_n237_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/H_158_cisi_india_n237_label_masked_context_enhanced_x2.png,19,97a89843e573156c5f86644cb78b6f030b8e6de2cdd59935a02bb97c1473eb69,"Forger-recommended routed real negative. Context crop is cut from raw page, with all OCR word boxes inside the crop masked before blinding; still requires human leakage QA.",0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_024,M-376,impression_a_existing_hard_negative,external_stress_control,m70_hard_negative_002_y_prev_not_032_suffix_control,+740-100-176-002-861-533-717+,7,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_376_impression_a_existing_hard_negative_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_376_impression_a_existing_hard_negative_enhanced_x2.png,0,23dbf286add695ed53040a939c16668bc209edbc878970e485713f3bb0f783e4,Existing hard negative from prior M-70 packet.,0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_025,M-1273,impression_a_existing_hard_negative,external_stress_control,m70_hard_negative_002_y_prev_not_032_suffix_control,+740-055-002-861-603+,5,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1273_impression_a_existing_hard_negative_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1273_impression_a_existing_hard_negative_enhanced_x2.png,0,e4b6f34d1e6aa577be4a517329ba7c0073fede9a26f7ad55e65acd3ccbc3b41f,Existing hard negative from prior M-70 packet.,0
2026-05-29,directionality_no_overlay_packet_v2_label_masked_controls,D2_026,M-534,cisi_india_n35_label_masked_context,scoring_negative_real,forger_recommended_routed_real_negative_label_masked_context,+407-321-407-845-033-705-235+,7,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_534_cisi_india_n35_label_masked_context_source.png,tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_534_cisi_india_n35_label_masked_context_enhanced_x2.png,277,7abd49980a1a2c76fd80923ff3976aa2158c55895e00e7985a877b8897ce0196,"Forger-recommended routed real negative. Context crop is cut from raw page, with all OCR word boxes inside the crop masked before blinding; still requires human leakage QA.",0
