checked_date,object,site,head,x,head_class,structural_parse,provisional_semantic_gloss,tier,prediction,text
2026-05-31,H-55,Harappa,861,125,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + OPEN_OPERATOR(125) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot,should close unless source shows hidden tail,+390-004-002-861-125+
2026-05-31,H-82,Harappa,220,455,open_template_head,FRAME(002) + OPEN_RELATION_ROUTE_HEAD wild shot + OPEN_OPERATOR(455) + TAIL(741),designation frame with relation/route payload,wild shot with strong structural pressure,should preserve tail under source-strict reading,+390-017-002-220-455-741+
2026-05-31,H-252,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-253,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-254,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-255,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-256,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-257,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-258,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-259,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-260,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-261,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-262,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-263,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-264,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-265,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-268,Harappa,220,455,open_template_head,FRAME(002) + OPEN_RELATION_ROUTE_HEAD wild shot + OPEN_OPERATOR(455) + TAIL(920),designation frame with relation/route payload,wild shot with strong structural pressure,should preserve tail under source-strict reading,+740-585-017-033-706-803-002-220-455-920+
2026-05-31,H-276,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-277,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-593,Harappa,220,000,open_template_head,FRAME(002) + OPEN_RELATION_ROUTE_HEAD wild shot + TERMINAL_BOOSTER(000) + NO_TAIL,designation frame with relation/route payload,wild shot,should close unless source shows hidden tail,+740-760-235-240-002-220-000[
2026-05-31,H-811,Harappa,920,491,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(491) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot closed-template pressure,should close unless source shows hidden tail,+317-740-335-740-176-002-920-491+
2026-05-31,H-859,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-860,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-861,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-862,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-863,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-864,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-865,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-866,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-867,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-868,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-869,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-870,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,H-910,Harappa,861,416,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(416) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+002-861-416+
2026-05-31,K-25,Kalibangan,220,065,open_template_head,FRAME(002) + OPEN_RELATION_ROUTE_HEAD wild shot + OPEN_OPERATOR(065) + TAIL(132 082),designation frame with relation/route payload,wild shot with strong structural pressure,should preserve tail under source-strict reading,+520-231-002-220-065-132-082+
2026-05-31,K-69,Kalibangan,056,091,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(091) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+892-890-417-002-056-091+
2026-05-31,K-70,Kalibangan,056,091,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(091) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+892-890-417-002-056-091+
2026-05-31,K-71,Kalibangan,056,091,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(091) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+892-890-417-002-056-091+
2026-05-31,K-72,Kalibangan,056,091,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(091) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+892-890-417-002-056-091+
2026-05-31,K-73,Kalibangan,056,091,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(091) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+892-890-417-002-056-091+
2026-05-31,K-74,Kalibangan,056,091,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(091) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+892-890-417-002-056-091+
2026-05-31,K-75,Kalibangan,056,091,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(091) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+892-890-417-002-056-091+
2026-05-31,L-190,Lothal,920,317,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(317) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot closed-template pressure,should close unless source shows hidden tail,+000-000-000-002-920-317[
2026-05-31,M-29,Mohenjo-daro,220,455,open_template_head,FRAME(002) + OPEN_RELATION_ROUTE_HEAD wild shot + OPEN_OPERATOR(455) + TAIL(503),designation frame with relation/route payload,wild shot with strong structural pressure,should preserve tail under source-strict reading,+740-055-240-235-806-002-220-455-503+
2026-05-31,M-38,Mohenjo-daro,390,125,mixed_inventory_head,"FRAME(002) + MIXED_INVENTORY_HEAD, status/title semantics only wild + OPEN_OPERATOR(125) + TAIL(632 032)",designation frame with mixed inventory X,candidate structure from prior strict rows,should preserve tail under source-strict reading,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-41,Mohenjo-daro,405,125,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + OPEN_OPERATOR(125) + TAIL(820),fixed edge/template formula,wild shot,should preserve tail under source-strict reading,+740-636-240-233-235-002-405-125-820+
2026-05-31,M-44,Mohenjo-daro,920,317,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(317) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot closed-template pressure,should close unless source shows hidden tail,+740-760-033-705-803-002-920-317+
2026-05-31,M-46,Mohenjo-daro,220,065,open_template_head,FRAME(002) + OPEN_RELATION_ROUTE_HEAD wild shot + OPEN_OPERATOR(065) + TAIL(215),designation frame with relation/route payload,wild shot with strong structural pressure,should preserve tail under source-strict reading,+740-798-240-235-002-220-065-215+
2026-05-31,M-70,Mohenjo-daro,390,692,mixed_inventory_head,"FRAME(002) + MIXED_INVENTORY_HEAD, status/title semantics only wild + EDGE_CAP(692) + NO_TAIL",designation frame with mixed inventory X,candidate structure from prior strict rows,should close unless source shows hidden tail,+226-032-002-390-692+
2026-05-31,M-71,Mohenjo-daro,390,095,mixed_inventory_head,"FRAME(002) + MIXED_INVENTORY_HEAD, status/title semantics only wild + TERMINAL_BOOSTER(095) + NO_TAIL",designation frame with mixed inventory X,candidate structure from prior strict rows,should close unless source shows hidden tail,+151-279-142-002-390-095+
2026-05-31,M-119,Mohenjo-daro,390,125,mixed_inventory_head,"FRAME(002) + MIXED_INVENTORY_HEAD, status/title semantics only wild + OPEN_OPERATOR(125) + TAIL(632 032 900 563)",designation frame with mixed inventory X,candidate structure from prior strict rows,should preserve tail under source-strict reading,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-140,Mohenjo-daro,220,065,open_template_head,FRAME(002) + OPEN_RELATION_ROUTE_HEAD wild shot + OPEN_OPERATOR(065) + TAIL(440 455),designation frame with relation/route payload,wild shot with strong structural pressure,should preserve tail under source-strict reading,+740-336-002-220-065-440-455+
2026-05-31,M-141,Mohenjo-daro,031,000,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(000) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+817-255-636/000-000-000-240-002-031-000+
2026-05-31,M-147,Mohenjo-daro,220,455,open_template_head,FRAME(002) + OPEN_RELATION_ROUTE_HEAD wild shot + OPEN_OPERATOR(455) + TAIL(520),designation frame with relation/route payload,wild shot with strong structural pressure,should preserve tail under source-strict reading,+226-803-002-220-455-520+
2026-05-31,M-211,Mohenjo-daro,031,165,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(165) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+090-740-100-220-002-031-165+
2026-05-31,M-240,Mohenjo-daro,861,603,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(603) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+520-240-220-032-002-861-603+
2026-05-31,M-318,Mohenjo-daro,031,575,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(575) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+390-003-002-031-575+
2026-05-31,M-655,Mohenjo-daro,220,880,open_template_head,FRAME(002) + OPEN_RELATION_ROUTE_HEAD wild shot + UNCLASSIFIED_X(880) + TAIL(689),designation frame with relation/route payload,wild shot,should preserve tail under source-strict reading,+740-717-233-002-220-880-689+
2026-05-31,M-706,Mohenjo-daro,861,031,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(031) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+740-773-240-002-861-031+
2026-05-31,M-714,Mohenjo-daro,861,603,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(603) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+740-585-017-033-705-233-798-803-002-861-603+
2026-05-31,M-735,Mohenjo-daro,390,125,mixed_inventory_head,"FRAME(002) + MIXED_INVENTORY_HEAD, status/title semantics only wild + OPEN_OPERATOR(125) + TAIL(195)",designation frame with mixed inventory X,candidate structure from prior strict rows,should preserve tail under source-strict reading,+740-760-235-002-390-125-195+
2026-05-31,M-1273,Mohenjo-daro,861,603,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(603) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+740-055-002-861-603+
2026-05-31,M-1427,Mohenjo-daro,220,627,open_template_head,FRAME(002) + OPEN_RELATION_ROUTE_HEAD wild shot + UNCLASSIFIED_X(627) + TAIL(615 906 388),designation frame with relation/route payload,wild shot,should preserve tail under source-strict reading,+484-140-002-220-627-615-906-388+
2026-05-31,Sktd-1,Surkotada,390,125,mixed_inventory_head,"FRAME(002) + MIXED_INVENTORY_HEAD, status/title semantics only wild + OPEN_OPERATOR(125) + TAIL(820)",designation frame with mixed inventory X,candidate structure from prior strict rows,should preserve tail under source-strict reading,+390-004-002-390-125-820+
2026-05-31,M-1825,Mohenjo-daro,390,705,mixed_inventory_head,"FRAME(002) + MIXED_INVENTORY_HEAD, status/title semantics only wild + TERMINAL_BOOSTER(705) + NO_TAIL",designation frame with mixed inventory X,wild shot,should close unless source shows hidden tail,+157-031-002-390-705+
2026-05-31,-:4237.1,Dholavira,390,705,mixed_inventory_head,"FRAME(002) + MIXED_INVENTORY_HEAD, status/title semantics only wild + TERMINAL_BOOSTER(705) + NO_TAIL",designation frame with mixed inventory X,wild shot,should close unless source shows hidden tail,+151-032-388-002-390-705+
2026-05-31,-:4344.1,Dholavira,031,000,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(000) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,]240-002-031-000[
2026-05-31,H-1155,Harappa,405,501,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(501) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+520-240-002-405-501+
2026-05-31,K-156,Kalibangan,056,091,closed_edge_template_head,FRAME(002) + CLOSED_EDGE_TEMPLATE_HEAD wild shot + EDGE_CAP(091) + NO_TAIL,fixed edge/template formula,wild shot closed-template pressure,should close unless source shows hidden tail,+892-890-417-002-056-091+
2026-05-31,K-429,Kalibangan,031,820,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(820) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,]002-031-820[
2026-05-31,-:5541.1,Shikarpur,861,000,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(000) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,+002-861-000[
2026-05-31,-:5579.1,Dholavira,031,575,terminal_default_head,FRAME(002) + TERMINAL_DEFAULT_CLASSIFIER_ZONE wild shot + TERMINAL_BOOSTER(575) + NO_TAIL,designation frame with terminal classifier/default cap,wild shot terminal-default pressure,should close unless source shows hidden tail,]231-226-002-031-575+
