"row_index_1based","dataset_slice","word_token_count","sign_token_count","ivc_p95_length_eligible","raw_sequence"
"21","real_series_d_default_clean","2","4","true","ko-we-jo OVIS:m"
"22","real_series_d_default_clean","3","4","true","pu-so OVIS:m peOVIS"
"23","real_series_d_default_clean","7","17","false","ma-di-qo si-ja-du-we po-ti-ni-ja-we-jo OVIS:f LANA okiOVIS:m oLANA"
"24","real_series_d_default_clean","9","20","false","qa-ra2-ro ma-so-mo sa-qa-re-jo a-ko-ro e-pe-ke OVIS:f LANA okiOVIS:m oLANA"
"25","real_series_d_default_clean","4","8","true","qi-ta-ro da-ra-ko OVIS:m LANA"
"26","real_series_d_default_clean","7","16","false","a-ko-i-da qa-nwa-so po-ti-ni-ja-we OVIS:f LANA okiOVIS:m oLANA"
"27","real_series_d_default_clean","8","15","false","ta-mi-de-so e-ra sa-qa-re-jo OVIS:f LANA oLANA oOVIS:f okiOVIS:m"
"28","real_series_d_default_clean","7","17","false","ke-u-sa si-ja-du-we po-ti-ni-ja-we-jo OVIS:f LANA okiOVIS:m oLANA"
"29","real_series_d_default_clean","8","15","false","si-da-jo ma-ri e-se-re-e-jo OVIS:f kiOVIS:m LANA okiOVIS:m oLANA"
"30","real_series_d_default_clean","8","14","false","pa-za-ti ma-ri sa-qa-re-jo OVIS:f LANA oLANA oOVIS:f okiOVIS:m"
"31","real_series_d_default_clean","7","15","false","i-pe-ta su-ri-mo e-se-re-e-jo OVIS:f LANA oOVIS:f okiOVIS:m"
"32","real_series_d_default_clean","7","16","false","*18-jo si-ja-du-we po-ti-ni-ja-we-jo OVIS:f LANA okiOVIS:m oLANA"
"33","real_series_d_default_clean","5","8","true","sa-qa-re-jo OVIS:f LANA okiOVIS:m oLANA"
"34","real_series_d_default_clean","2","6","true","da-to-ro su-ri-mo"
"35","real_series_d_default_clean","4","7","true","da-i-mi-so seOVIS:f kiOVIS:m OVIS:m"
"36","real_series_d_default_clean","5","13","false","to-sa ne-wa po-ka po-ti-ni-ja-we-ja OVIS:f"
"37","real_series_d_default_clean","4","9","false","e-ra-ja qi-ni-te-we OVIS saOVIS"
"38","real_series_d_default_clean","6","12","false","ra-su-to e-se-re-e-jo OVIS:f LANA okiOVIS:m LANA"
"39","real_series_d_default_clean","2","7","true","ra-su-to ko-ma-we-te"
"40","real_series_d_default_clean","4","11","false","ko-te-u ka-to-ro se-to-i-ja OVIS:f"
"41","real_series_d_default_clean","4","10","false","a-te-i-ja-ta ku-ta-to OVIS:m LANA"
"42","real_series_d_default_clean","5","9","false","ka-da-no ku-ta-to OVIS:m LANA oLANA"
"43","real_series_d_default_clean","4","10","false","a-ko-mo-ni-jo ku-ta-to kineOVIS:m LANA"
"44","real_series_d_default_clean","4","6","true","ku-ta-to OVIS:m LANA oLANA"
"45","real_series_d_default_clean","5","8","true","wo-wo ku-ta-to OVIS:m LANA oLANA"
"46","real_series_d_default_clean","5","9","false","ka-te-u ku-ta-to OVIS:m LANA oLANA"
"47","real_series_d_default_clean","5","10","false","ka-mi-ni-to ku-ta-to OVIS:m LANA oLANA"
"48","real_series_d_default_clean","5","10","false","e-ru-to-ro ku-ta-to OVIS:m LANA oLANA"
"49","real_series_d_default_clean","5","9","false","di-ra-qo ku-ta-to OVIS:m LANA oLANA"
"50","real_series_d_default_clean","5","10","false","ti-mi-za da-mi-ni-jo OVIS:m LANA oLANA"
"51","real_series_d_default_clean","5","11","false","i-ke-se-ra da-mi-ni-jo OVIS:m LANA oLANA"
"52","real_series_d_default_clean","3","6","true","e-ki-no a-ka OVIS:m"
"53","real_series_d_default_clean","3","8","true","a-ko-ro-qo-ro a-ka OVIS:m"
"54","real_series_d_default_clean","3","6","true","au-ri-jo a-ka OVIS:m"
"55","real_series_d_default_clean","3","8","true","e-ne-ke-se-u a-ka OVIS:m"
"56","real_series_d_default_clean","3","6","true","o-ku-no a-ka OVIS:m"
"57","real_series_d_default_clean","3","7","true","po-i-te-u a-ka OVIS:m"
"58","real_series_d_default_clean","6","12","false","ko-ti pa-i-to a-ka-i-jo OVIS:m OVIS:f oOVIS:m"
"59","real_series_d_default_clean","6","13","false","ki-mu-ko pa-i-to a-ka-i-jo OVIS:m OVIS:f OVIS:m"
"60","real_series_d_default_clean","2","4","true","su-ri-mo OVIS:m"
"61","real_series_d_default_clean","2","4","true","e-ko-so OVIS:m"
"62","real_series_d_default_clean","2","5","true","su-ki-ri-ta OVIS:m"
"63","real_series_d_default_clean","2","4","true","da-*22-to OVIS:m"
"64","real_series_d_default_clean","2","5","true","*56-ko-we-i OVIS:m"
"65","real_series_d_default_clean","2","4","true","pa-i-to OVIS:m"
"66","real_series_d_default_clean","2","3","true","da-wo OVIS:m"
"67","real_series_d_default_clean","2","4","true","ti-ri-to OVIS:m"
"68","real_series_d_default_clean","2","3","true","qa-ra OVIS:m"
"69","real_series_d_default_clean","2","3","true","ra-ja OVIS:m"
"70","real_series_d_default_clean","2","4","true","pu-na-so OVIS:m"
"71","real_series_d_default_clean","4","8","true","ta-za-ro u-ta-no OVIS:m OVIS:f"
"72","real_series_d_default_clean","3","6","true","ru-na-mo qa-ra OVIS:m"
"73","real_series_d_default_clean","3","7","true","ki-*18-i-so qa-ra OVIS:m"
"74","real_series_d_default_clean","4","7","true","a-wa-so qa-mo OVIS:m OVIS:f"
"75","real_series_d_default_clean","6","10","false","qa-i-po su-ri-mo OVIS:m OVIS:f peOVIS:m oOVIS:m"
"76","real_series_d_default_clean","5","9","false","a-tu-ko su-ri-mo OVIS:m OVIS:m paOVIS:m"
"77","real_series_d_default_clean","3","7","true","au-ri-jo su-ri-mo OVIS:m"
"78","real_series_d_default_clean","3","7","true","da-to-ro su-ri-mo OVIS:m"
"79","real_series_d_default_clean","4","10","false","a3-ku-pi-ti-jo su-ri-mo OVIS:m OVIS:f"
"80","real_series_d_default_clean","5","9","false","re-me-to su-ri-mo OVIS:m OVIS:f paOVIS:m"
"81","real_series_d_default_clean","6","12","false","a-du-ru-po-to su-ri-mo OVIS:m OVIS:m paOVIS:m peOVIS:m"
"82","real_series_d_default_clean","3","8","true","ki-ta-ne-to su-ri-mo OVIS:m"
"83","real_series_d_default_clean","4","9","false","qa-si-da-ro ku-ta-to OVIS:m OVIS:f"
"84","real_series_d_default_clean","4","8","true","ri-wi-so ku-ta-to OVIS:m OVIS"
"85","real_series_d_default_clean","5","11","false","a-ko-mo-ni-jo ku-ta-to OVIS:m OVIS:f oOVIS:m"
"86","real_series_d_default_clean","4","11","false","ka-ta-wo ku-ta-to da-mi-ni-jo OVIS:m"
"87","real_series_d_default_clean","3","7","true","ri-wi-so ku-ta-to OVIS:m"
"88","real_series_d_default_clean","3","5","true","ku-ta-to OVIS:m OVIS:f"
"89","real_series_d_default_clean","4","11","false","au-ri-jo ku-ta-to da-mi-ni-jo OVIS:m"
"90","real_series_d_default_clean","5","12","false","wa-*86-re ku-ta-to da-mi-ni-jo OVIS:m peOVIS:m"
"91","real_series_d_default_clean","5","13","false","wa-du-na-ro ku-ta-to da-mi-ni-jo OVIS:m oOVIS:m"
"92","real_series_d_default_clean","6","14","false","de-ke-se-u ku-ta-to da-mi-ni-jo OVIS:m OVIS:f peOVIS:m"
"93","real_series_d_default_clean","6","12","false","u-*56 ku-ta-to da-mi-ni-jo OVIS:m OVIS:f peOVIS:m"
"94","real_series_d_default_clean","6","13","false","ti-mi-za ku-ta-to da-mi-ni-jo OVIS:m OVIS:f peOVIS:m"
"95","real_series_d_default_clean","5","12","false","a-nu-ko ku-ta-to da-mi-ni-jo OVIS:m peOVIS:m"
"96","real_series_d_default_clean","3","7","true","a-qi-ro ku-ta-to OVIS:m"
"97","real_series_d_default_clean","3","7","true","e-qa-ro ku-ta-to OVIS:m"
"98","real_series_d_default_clean","4","10","false","mi-ru-ro da-*22-to u-ta-jo OVIS:m"
"99","real_series_d_default_clean","4","8","true","ka-da-no ku-ta-to OVIS:m OVIS"
"100","real_series_d_default_clean","5","13","false","po-ro-u-te-u da-*22-to u-ta-jo OVIS:m oOVIS:m"
"101","real_series_d_default_clean","5","12","false","ta-ra-to-no da-*22-to u-ta-jo OVIS:m oOVIS:m"
"102","real_series_d_default_clean","4","11","false","*56-du-nu-ka do-ti-ja u-ta-jo OVIS:m"
"103","real_series_d_default_clean","4","10","false","a-ke-u e-ko-so u-ta-jo OVIS:m"
"104","real_series_d_default_clean","4","9","false","ke-to *56-ko-we u-ta-jo OVIS:m"
"105","real_series_d_default_clean","4","10","false","ke-to *56-ko-we u-ta-jo-jo OVIS:m"
"106","real_series_d_default_clean","6","12","false","we-ra-to e-ko-so u-ta-jo OVIS:m OVIS:f oOVIS:m"
"107","real_series_d_default_clean","4","11","false","po-ru-qo-to e-ko-so u-ta-jo OVIS:m"
"108","real_series_d_default_clean","6","12","false","si-ta-ro da-wo u-ta-jo-jo OVIS:m OVIS:f oOVIS:m"
"109","real_series_d_default_clean","4","11","false","a3-ke-ta da-*22-to u-ta-jo-jo OVIS:m"
"110","real_series_d_default_clean","5","11","false","qi-ja-to qa-ra u-ta-jo-jo OVIS:m OVIS:f"
"111","real_series_d_default_clean","4","10","false","du-ri ri-jo-no u-ta-jo-jo OVIS:m"
"112","real_series_d_default_clean","5","9","false","e-ra u-ta-jo-jo OVIS:m OVIS:f paOVIS:m"
"113","real_series_d_default_clean","3","8","true","sa-ma-ri-jo da-*22-to OVIS:m"
"114","real_series_d_default_clean","5","10","false","e-u-ko-ro da-*22-to OVIS:m OVIS:f paOVIS:m"
"115","real_series_d_default_clean","5","11","false","qa-ra-su-ti-jo da-*22-to OVIS:m OVIS:f paOVIS:m"
"116","real_series_d_default_clean","6","14","false","su-di-ni-ko da-*22-to we-we-si-jo OVIS:m OVIS:f oOVIS:m"
"117","real_series_d_default_clean","6","13","false","ko-ro da-*22-to we-we-si-jo-jo OVIS:m OVIS:f oOVIS:m"
"118","real_series_d_default_clean","6","15","false","da-ta-ja-ro da-*22-to we-we-si-jo-jo OVIS:m OVIS:f oOVIS:m"
"119","real_series_d_default_clean","5","13","false","wo-*82-ni-jo da-wo we-we-si-jo-jo OVIS:m oOVIS:m"
"120","real_series_d_default_clean","5","12","false","wi-jo-ka-de da-wo we-we-si-jo OVIS:m OVIS:f"
"121","real_series_d_default_clean","4","13","false","a-re-ke-se-u pa-i-to we-we-si-jo OVIS:m"
"122","real_series_d_default_clean","6","15","false","a-wo-ti-jo pa-i-to we-we-si-jo-jo OVIS:m OVIS:f paOVIS:m"
"123","real_series_d_default_clean","7","15","false","a-ni-ja-to pa-i-to we-we-si-jo OVIS:m OVIS:f paOVIS:m oOVIS:m"
"124","real_series_d_default_clean","5","13","false","du-ta-so pa-i-to we-we-si-jo-jo OVIS:m OVIS:f"
"125","real_series_d_default_clean","5","13","false","a-qe-mo pa-i-to we-we-si-jo-jo OVIS:m OVIS:f"
"126","real_series_d_default_clean","4","12","false","ku-tu-qa-no pa-i-to we-we-si-jo OVIS:m"
"127","real_series_d_default_clean","4","13","false","e-ro-u-ta su-ri-mo we-we-si-jo-jo OVIS:m"
"128","real_series_d_default_clean","5","15","false","wi-je-so pa-i-to ki-ri-jo-te we-we-si-jo OVIS:m"
"129","real_series_d_default_clean","4","12","false","da-i-qo-ta pa-i-to we-we-si-jo OVIS:m"
"130","real_series_d_default_clean","5","10","false","au-ta2 di-ro we-we-si-jo OVIS:m OVIS:f"
"131","real_series_d_default_clean","6","13","false","da-ja-ro di-ro we-we-si-jo-jo OVIS:m OVIS:f oOVIS:m"
"132","real_series_d_default_clean","5","12","false","ma-di e-ko-so we-we-si-jo-jo OVIS:m OVIS:f"
"133","real_series_d_default_clean","6","12","false","ka-to da-ra-ko we-we-si-jo OVIS:m OVIS:f oOVIS:f"
"134","real_series_d_default_clean","3","6","true","o-ku pa-i-to OVIS:m"
"135","real_series_d_default_clean","5","8","true","po-ro pa-i-to OVIS:m OVIS:f paOVIS:m"
"136","real_series_d_default_clean","4","13","false","ru-*56-ra-so pa-i-to pe-ri-qo-te-jo OVIS:m"
"137","real_series_d_default_clean","3","8","true","du-pu2-ra-zo pa-i-to OVIS:m"
"138","real_series_d_default_clean","2","7","true","ku-ru-me-ni-jo ke-to"
"139","real_series_d_default_clean","5","14","false","ri-jo-no e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m"
"140","real_series_d_default_clean","5","14","false","ra-su-to e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m"
"141","real_series_d_default_clean","5","14","false","ku-ta-to e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m"
"142","real_series_d_default_clean","5","14","false","ru-ki-to e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m"
"143","real_series_d_default_clean","2","9","false","e-ka-ra-e-we a3-mi-re-we"
"144","real_series_d_default_clean","5","14","false","ku-ta-to e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m"
"145","real_series_d_default_clean","5","14","false","pa-i-to e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m"
"146","real_series_d_default_clean","5","14","false","do-ti-ja e-ka-ra-e-we a3-mi-re-we OVIS:m OVIS:m"
"147","real_series_d_default_clean","3","10","false","to-u-na-ta e-ka-ra-e-we OVIS:m"
"148","real_series_d_default_clean","2","8","true","e-ka-ra-e-we ku-ta-to"
"149","real_series_d_default_clean","5","14","false","pa-i-to o-we-to o-pa e-ka-ra-e-we OVIS:m"
"150","real_series_d_default_clean","4","6","true","pa-ru ra-to OVIS:m OVIS:f"
"151","real_series_d_default_clean","4","8","true","i-mi-ri-jo ra-to OVIS:m OVIS:f"
"152","real_series_d_default_clean","3","8","true","sa-ma-ri-wa-ta ra-to OVIS:m"
"153","real_series_d_default_clean","3","7","true","a-me-a ra-su-to OVIS:m"
"154","real_series_d_default_clean","4","8","true","a3-ke-wa-to ra-to OVIS:m OVIS:f"
"155","real_series_d_default_clean","3","7","true","*56-du-nu-ka ra-to OVIS:m"
"156","real_series_d_default_clean","4","9","false","ra-to pe-ri-qo-te-jo OVIS:m OVIS:f"
"157","real_series_d_default_clean","3","8","true","a-ke-e-to ra-su-to OVIS:m"
"158","real_series_d_default_clean","4","11","false","wi-na-jo ra-su-to ki-ri-jo-te OVIS:m"
"159","real_series_d_default_clean","4","9","false","ta-na-po-so ra-su-to OVIS:m OVIS:f"
"160","real_series_d_default_clean","4","8","true","u-ra-jo ra-su-to OVIS:m OVIS:f"
"161","real_series_d_default_clean","2","4","true","do-ti-ja OVIS:m"
"162","real_series_d_default_clean","2","4","true","ra-su-to OVIS:m"
"163","real_series_d_default_clean","5","7","true","du-ni ra-ja OVIS:m OVIS:f paOVIS:m"
"164","real_series_d_default_clean","3","6","true","ku-mi-so ra-ja OVIS:m"
"165","real_series_d_default_clean","4","7","true","pa-ja-so ra-ja OVIS:m oOVIS:m"
"166","real_series_d_default_clean","4","7","true","qe-ro ri-jo-no OVIS:m OVIS:f"
"167","real_series_d_default_clean","3","8","true","wi-ra-ne-to ri-jo-no OVIS:m"
"168","real_series_d_default_clean","4","9","false","e-u-na-wo ri-jo-no OVIS:m OVIS:f"
"169","real_series_d_default_clean","5","9","false","o-ne-u ri-jo-no OVIS:m OVIS:f paOVIS:m"
"170","real_series_d_default_clean","2","4","true","ri-jo-no OVIS:m"
"171","real_series_d_default_clean","2","3","true","ra-to OVIS:m"
"172","real_series_d_default_clean","5","8","true","ku-do ri-jo-no OVIS:m OVIS:f peOVIS:m"
"173","real_series_d_default_clean","4","7","true","da-wi ri-jo-no OVIS:m OVIS:f"
"174","real_series_d_default_clean","4","7","true","mo-re u-ta-no OVIS:m OVIS:f"
"175","real_series_d_default_clean","2","4","true","u-ta-no OVIS:m"
"176","real_series_d_default_clean","3","8","true","*22-ri-ta-ro u-ta-no OVIS:m"
"177","real_series_d_default_clean","3","5","true","u-ta-no OVIS:m oOVIS:m"
"178","real_series_d_default_clean","5","9","false","o-wi-ro *56-ko-we OVIS:m OVIS:f paOVIS:m"
"179","real_series_d_default_clean","5","9","false","ka-*56-no *56-ko-we OVIS:m OVIS:f peOVIS:m"
"180","real_series_d_default_clean","4","9","false","da-ra-mu-ro *56-ko-we OVIS:m peOVIS:m"
"181","real_series_d_default_clean","3","8","true","a3-ta-ro-we *56-ko-we OVIS:m"
"182","real_series_d_default_clean","5","9","false","de-a-ta *56-ko-we OVIS:m OVIS:f peOVIS:m"
"183","real_series_d_default_clean","5","11","false","a-ko-ro-da-mo *56-ko-we OVIS:m OVIS:f peOVIS:m"
"184","real_series_d_default_clean","4","8","true","wi-na-jo *56-ko-we OVIS:m OVIS:f"
"185","real_series_d_default_clean","5","9","false","a-ze-o *56-ko-we OVIS:m OVIS:f OVIS:m"
"186","real_series_d_default_clean","4","9","false","sa-nu-we-ta *56-ko-we OVIS:m OVIS:f"
"187","real_series_d_default_clean","4","8","true","no-da-ro *56-ko-we OVIS:m peOVIS:m"
"188","real_series_d_default_clean","5","10","false","a-ra-si-jo *56-ko-we OVIS:m OVIS:f peOVIS:m"
"189","real_series_d_default_clean","5","8","true","ka-pte *56-ko-we OVIS:m OVIS:f peOVIS:m"
"190","real_series_d_default_clean","6","16","false","da-i-ta-ra-ro ti-ri-to pe-ri-qo-te-jo OVIS:m OVIS:f oOVIS:m"
"191","real_series_d_default_clean","5","14","false","na-pu-ti-jo ti-ri-to pe-ri-qo-te-jo OVIS:m OVIS:f"
"192","real_series_d_default_clean","5","9","false","pu-nu-so ti-ri-to OVIS:m OVIS:f peOVIS:m"
"193","real_series_d_default_clean","5","8","true","ro-ru ti-ri-to OVIS:m OVIS:f oOVIS"
"194","real_series_d_default_clean","6","11","false","qa-ra2-ti-jo ti-ri-to OVIS:m OVIS:f peOVIS:m oOVIS:m"
"195","real_series_d_default_clean","4","8","true","a-ra-ko ti-ri-to OVIS:m OVIS:f"
"196","real_series_d_default_clean","4","9","false","ku-ta-si-jo ti-ri-to OVIS:m OVIS:f"
"197","real_series_d_default_clean","3","7","true","ku-ka-ro ti-ri-to OVIS:m"
"198","real_series_d_default_clean","3","6","true","do-ti ti-ri-to OVIS:m"
"199","real_series_d_default_clean","4","7","true","ko-ku ti-ri-to nekiOVIS:m peOVIS:m"
"200","real_series_d_default_clean","4","9","false","o-te-se-u tu-ri-so OVIS:m OVIS:f"
"201","real_series_d_default_clean","4","9","false","wa-du-na-ro tu-ri-so OVIS:m OVIS:f"
"202","real_series_d_default_clean","4","6","true","tu-ri-so OVIS:m OVIS:f paOVIS:m"
"203","real_series_d_default_clean","4","8","true","ra-wi-zo tu-ri-so OVIS:m OVIS:f"
"204","real_series_d_default_clean","4","8","true","a-wa-so tu-ni-ja OVIS:m OVIS:f"
"205","real_series_d_default_clean","4","7","true","ta-za tu-ni-ja OVIS:m OVIS:f"
"206","real_series_d_default_clean","5","10","false","ki-ri-ne-to tu-ni-ja OVIS:m OVIS:m peOVIS:m"
"207","real_series_d_default_clean","4","8","true","ra-o-no tu-ni-ja OVIS:m OVIS:f"
"208","real_series_d_default_clean","3","5","true","tu-ni-ja OVIS:m OVIS:f"
"209","real_series_d_default_clean","4","11","false","*34-zo pe-ri-qo-te-jo tu-ni-ja OVIS:m"
"210","real_series_d_default_clean","5","8","true","ku-ja-ro qa-ra OVIS:m OVIS:f oOVIS:m"
"211","real_series_d_default_clean","5","9","false","me-ri-wa-ta qa-ra OVIS:m OVIS:f oOVIS:m"
"212","real_series_d_default_clean","5","9","false","ka-mi-ni-to qa-ra OVIS:m OVIS:f oOVIS:m"
"213","real_series_d_default_clean","4","8","true","a-no-ke-we qa-ra OVIS:m OVIS:f"
"214","real_series_d_default_clean","4","7","true","sa-ze-ro qa-ra OVIS:m OVIS:f"
"215","real_series_d_default_clean","5","8","true","qi-si-ta qa-ra OVIS:m OVIS:f oOVIS:m"
"216","real_series_d_default_clean","4","7","true","u-ra-jo qa-ra OVIS:m OVIS:f"
"217","real_series_d_default_clean","3","6","true","wi-je-mo qa-ra OVIS:m"
"218","real_series_d_default_clean","4","7","true","ko-ri-jo qa-ra OVIS:m OVIS:f"
"219","real_series_d_default_clean","3","6","true","qa-ra se-wo-to OVIS:m"
"220","real_series_d_default_clean","5","9","false","ta-u-na-so qa-ra OVIS:m OVIS:f oOVIS:m"
"221","real_series_d_default_clean","4","10","false","a-ku-di-ri-jo e-ko-so OVIS:m oOVIS:m"
"222","real_series_d_default_clean","5","8","true","du-ni e-ko-so OVIS:m OVIS:f paOVIS:m"
"223","real_series_d_default_clean","5","12","false","a-ti-ro e-ko-so ko-ma-we-to OVIS:m oOVIS:m"
"224","real_series_d_default_clean","4","7","true","je-zo e-ko-so OVIS:m OVIS:f"
"225","real_series_d_default_clean","3","7","true","ka-ma-to e-ko-so OVIS:m"
"226","real_series_d_default_clean","3","7","true","to-tu-no e-ko-so OVIS:m"
"227","real_series_d_default_clean","3","7","true","ru-na-mo e-ko-so OVIS:m"
"228","real_series_d_default_clean","6","9","false","ti-ja ru-ki-to OVIS:m OVIS:f paOVIS:m peOVIS:m"
"229","real_series_d_default_clean","4","10","false","tu-qa-ni-ja-so ru-ki-to OVIS:m OVIS:f"
"230","real_series_d_default_clean","6","10","false","si-ni-to ru-ki-to OVIS:m OVIS:f paOVIS:m peOVIS:m"
"231","real_series_d_default_clean","5","8","true","pa-ti ru-ki-to OVIS:m OVIS:f paOVIS:m"
"232","real_series_d_default_clean","4","8","true","wi-na-jo ru-ki-to OVIS:m OVIS:f"
"233","real_series_d_default_clean","5","9","false","qa-sa-ko ru-ki-to OVIS:m OVIS:f paOVIS:m"
"234","real_series_d_default_clean","5","9","false","wi-su-ro ru-ki-to OVIS:m OVIS:f paOVIS:m"
"235","real_series_d_default_clean","5","9","false","ta-de-so ru-ki-to OVIS:m OVIS:f peOVIS:m"
"236","real_series_d_default_clean","5","9","false","u-wa-ta ru-ki-to OVIS:m OVIS:f paOVIS:m"
"237","real_series_d_default_clean","5","9","false","ka-wa-ro ru-ki-to OVIS:m OVIS:f oOVIS:m"
"238","real_series_d_default_clean","3","7","true","mo-ni-ko ru-ki-to OVIS:m"
"239","real_series_d_default_clean","3","8","true","a-no-qo-ta ru-ki-to OVIS:m"
"240","real_series_d_default_clean","5","9","false","sa-sa-jo ru-ki-to OVIS:m OVIS:f peOVIS:m"
"241","real_series_d_default_clean","5","8","true","qi-zo ru-ki-to OVIS:m OVIS:f paOVIS:m"
"242","real_series_d_default_clean","3","7","true","mi-ta-qo ru-ki-to OVIS:m"
"243","real_series_d_default_clean","3","8","true","ka-mo-ni-jo ru-ki-to OVIS:m"
"244","real_series_d_default_clean","5","10","false","qe-da-do-ro ru-ki-to OVIS:m OVIS:f oOVIS:m"
"245","real_series_d_default_clean","4","9","false","a3-ke-wa-to ru-ki-to OVIS:m OVIS:f"
"246","real_series_d_default_clean","5","10","false","ma-ra-pi-jo ru-ki-to OVIS:m OVIS:f paOVIS:m"
"247","real_series_d_default_clean","4","8","true","qa-da-so ru-ki-so OVIS:m OVIS:f"
"248","real_series_d_default_clean","5","11","false","a-te-mo e-ra ki-ri-jo-te OVIS:m peOVIS:m"
"249","real_series_d_default_clean","4","12","false","e-u-ko-ro do-ti-ja ki-ri-jo-te OVIS:m"
"250","real_series_d_default_clean","5","10","false","ra-u-ra-ta do-ti-ja OVIS:m OVIS:f paOVIS:m"
"251","real_series_d_default_clean","6","12","false","ja-ti-ri do-ti-ja a-te-jo OVIS:m OVIS:f oOVIS:m"
"252","real_series_d_default_clean","4","8","true","da-nwa-re do-ti-ja OVIS:m OVIS:f"
"253","real_series_d_default_clean","5","11","false","de-ni-mo do-ti-ja a-te-jo OVIS:m oOVIS:m"
"254","real_series_d_default_clean","4","7","true","na-ru do-ti-ja OVIS:m OVIS:f"
"255","real_series_d_default_clean","4","9","false","wi-jo-qo-ta do-ti-ja OVIS:m OVIS:f"
"256","real_series_d_default_clean","5","9","false","ku-ke-so do-ti-ja OVIS:m OVIS:f paOVIS:m"
"257","real_series_d_default_clean","6","12","false","a-ra-ko do-ti-ja a-te-jo OVIS:m OVIS:f oOVIS:m"
"258","real_series_d_default_clean","4","8","true","te-ru-sa do-ti-ja OVIS:m OVIS:f"
"259","real_series_d_default_clean","2","5","true","ko-ru-to da-wo"
"260","real_series_d_default_clean","3","6","true","su-ru-so da-wo OVIS:m"
"261","real_series_d_default_clean","3","7","true","ku-mo-no-so da-wo OVIS:m"
"262","real_series_d_default_clean","4","12","false","po-i-ti-jo da-wo te-ra-po-si-jo OVIS:m"
"263","real_series_d_default_clean","3","7","true","u-ra-mo-no da-wo OVIS:m"
"264","real_series_d_default_clean","6","9","false","si-ta-ro qa-mo OVIS:m OVIS:f paOVIS:m peOVIS:m"
"265","real_series_d_default_clean","4","11","false","da-i-ze-to qa-mo u-ta-jo-jo OVIS:m"
"266","real_series_d_default_clean","2","6","true","a-mi-ni-si-ja neOVIS:m"
"267","real_series_d_default_clean","3","6","true","da-mi-ni-jo OVIS:m oLANA"
"268","real_series_d_default_clean","4","11","false","su-ta-no ra-to pe-ri-qo-te-jo OVIS:m"
"269","real_series_d_default_clean","4","8","true","pe-ri-qo-te-jo OVIS:m OVIS:f oOVIS:m"
"270","real_series_d_default_clean","4","9","false","da-na-jo su-ki-ri-ta OVIS:m OVIS:f"
"271","real_series_d_default_clean","5","10","false","a-re-ta2 su-ki-ri-ta OVIS:m OVIS:f peOVIS:m"
"272","real_series_d_default_clean","4","9","false","ki-mu-ku su-ki-ri-ta OVIS:m OVIS:f"
"273","real_series_d_default_clean","5","12","false","u-ra-jo qa-sa-ro-we a-te-jo OVIS:m OVIS:f"
