cisi,text,y,status,confidence,note,source_image,source_image_abs,overlay_image,token_label,box_color,x1,y1,x2,y2
M-21,+350-001-740-362-692-032-002-861+,861/P385,candidate_pass,medium,Mayig row has local tail as P145-P122-P385; full panel shows adjacent left-side P385/P122/P145 physical cluster.,tmp/032_002_y_source_function_batch/M21_outside_861_fullpanel_a.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M21_outside_861_fullpanel_a.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M21_token_boxes.png,002/P122,blue,165,95,245,280
M-21,+350-001-740-362-692-032-002-861+,861/P385,candidate_pass,medium,Mayig row has local tail as P145-P122-P385; full panel shows adjacent left-side P385/P122/P145 physical cluster.,tmp/032_002_y_source_function_batch/M21_outside_861_fullpanel_a.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M21_outside_861_fullpanel_a.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M21_token_boxes.png,861/P385,green,55,70,165,305
M-375,+740-100-233-220-032-002-820+,820/P378,candidate_pass,medium_low,Right-edge branch cluster is visible but Y wheel/820 is partly cut by crop edge; source panel should be recut wider before final acceptance.,tmp/032_002_y_source_function_batch/M375_non240_820_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M375_non240_820_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M375_token_boxes.png,032/P145,red,535,105,615,335
M-375,+740-100-233-220-032-002-820+,820/P378,candidate_pass,medium_low,Right-edge branch cluster is visible but Y wheel/820 is partly cut by crop edge; source panel should be recut wider before final acceptance.,tmp/032_002_y_source_function_batch/M375_non240_820_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M375_non240_820_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M375_token_boxes.png,002/P122,blue,615,90,705,310
M-375,+740-100-233-220-032-002-820+,820/P378,candidate_pass,medium_low,Right-edge branch cluster is visible but Y wheel/820 is partly cut by crop edge; source panel should be recut wider before final acceptance.,tmp/032_002_y_source_function_batch/M375_non240_820_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\M375_non240_820_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\M375_token_boxes.png,820/P378,green,705,70,838,330
H-597,+740-390-590-070-032-002-861+,861/P385,candidate_pass,medium_low,Dark-background signband shows adjacent right-side tail cluster; P122/P145 separation needs stronger crop before final acceptance.,tmp/032_002_y_source_function_batch/H597_outside_861_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H597_outside_861_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\H597_token_boxes.png,032/P145,red,515,185,605,430
H-597,+740-390-590-070-032-002-861+,861/P385,candidate_pass,medium_low,Dark-background signband shows adjacent right-side tail cluster; P122/P145 separation needs stronger crop before final acceptance.,tmp/032_002_y_source_function_batch/H597_outside_861_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H597_outside_861_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\H597_token_boxes.png,002/P122,blue,605,185,690,420
H-597,+740-390-590-070-032-002-861+,861/P385,candidate_pass,medium_low,Dark-background signband shows adjacent right-side tail cluster; P122/P145 separation needs stronger crop before final acceptance.,tmp/032_002_y_source_function_batch/H597_outside_861_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_source_function_batch\H597_outside_861_signband_closeup.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\H597_token_boxes.png,861/P385,green,690,165,812,450
C-10,+740-231-220-032-002-817+,817/P385,candidate_pass_lowres,low,"Mackay plate is low contrast but the final adjacent cluster is boxable; use as source-realness pressure, not final token identity.",tmp/chanhudaro_mackay_1943/crops_final/C10_non240_817_plateLI_no29_signband.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C10_non240_817_plateLI_no29_signband.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\C10_token_boxes.png,032/P145,red,330,20,410,240
C-10,+740-231-220-032-002-817+,817/P385,candidate_pass_lowres,low,"Mackay plate is low contrast but the final adjacent cluster is boxable; use as source-realness pressure, not final token identity.",tmp/chanhudaro_mackay_1943/crops_final/C10_non240_817_plateLI_no29_signband.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C10_non240_817_plateLI_no29_signband.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\C10_token_boxes.png,002/P122,blue,410,20,490,230
C-10,+740-231-220-032-002-817+,817/P385,candidate_pass_lowres,low,"Mackay plate is low contrast but the final adjacent cluster is boxable; use as source-realness pressure, not final token identity.",tmp/chanhudaro_mackay_1943/crops_final/C10_non240_817_plateLI_no29_signband.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C10_non240_817_plateLI_no29_signband.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\C10_token_boxes.png,817/P385,green,490,0,645,260
C-60,+740-176-032-002-861+,861/P385,candidate_weak,low,"Same-line signband is present, but the public crop is too degraded for confident token identity. Count row-level source visibility, not token-level acceptance.",tmp/chanhudaro_mackay_1943/crops_final/C60_outside_861_plateLII_no24_signband.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C60_outside_861_plateLII_no24_signband.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\C60_token_boxes.png,032/P145,red,210,5,285,145
C-60,+740-176-032-002-861+,861/P385,candidate_weak,low,"Same-line signband is present, but the public crop is too degraded for confident token identity. Count row-level source visibility, not token-level acceptance.",tmp/chanhudaro_mackay_1943/crops_final/C60_outside_861_plateLII_no24_signband.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C60_outside_861_plateLII_no24_signband.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\C60_token_boxes.png,002/P122,blue,285,5,355,145
C-60,+740-176-032-002-861+,861/P385,candidate_weak,low,"Same-line signband is present, but the public crop is too degraded for confident token identity. Count row-level source visibility, not token-level acceptance.",tmp/chanhudaro_mackay_1943/crops_final/C60_outside_861_plateLII_no24_signband.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\chanhudaro_mackay_1943\crops_final\C60_outside_861_plateLII_no24_signband.png,C:\Users\Acer\OneDrive\Documents\ivc\tmp\032_002_y_token_box_scaffold_v1\C60_token_boxes.png,861/P385,green,355,0,470,150
