query_id,rank,lead_label,lead_class,query_role,query_text,status,cdli_url,http_status,byte_length,page_count,page_cap_reached,returned_artifacts,query_line_artifacts,unique_inscription_hashes,duplicate_cluster_count,max_duplicate_cluster_size,artifacts_with_meluhha_anywhere,artifacts_with_query_line_and_meluhha_anywhere,artifacts_with_query_line_adjacent_to_meluhha,artifacts_with_query_line_same_as_meluhha,query_line_anywhere_false_positive_rate,query_line_adjacency_false_positive_rate,passes_negative_gate,gate_reason,meluhha_artifact_ps,non_meluhha_artifact_ps,rationale
mn_c8c902077caae062,3,Meluhha ship/work context,ship_labor_context,anchor,lu2-tukul,ok,https://cdli.earth/search?atf_transliteration=lu2-tukul&format=json&limit=100,200,344995,1,false,46,42,46,0,1,1,1,1,1,0.976190,0.976190,false,Anchor is not Meluhha-diagnostic: 97.6% of query-line artifacts lack any Meluhha line.,P212842,P110814|P127712|P212531|P212927|P212929|P212962|P212963|P212964|P213046|P213093|P213831|P213833|P213889|P214295|P214687|P214928|P215448|P215450|P215478|P215527|P215795|P215808|P215812|P215813|P215820|P216905|P217360|P217902|P222926|P250422|P250887|P253274|P253275|P253295|P323391|P342037|P417429|P480080|P512009|P512018|P512020,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`."
mn_6bf2efcd62edb66a,3,Meluhha ship/work context,ship_labor_context,diagnostic,lu2-tukul ma2 me-luh-ha,ok,https://cdli.earth/search?atf_transliteration=lu2-tukul%20ma2%20me-luh-ha&format=json&limit=100,200,8020,1,false,1,1,1,0,1,1,1,1,1,0.000000,0.000000,false,"Singleton or non-replicated source-side hit; retained as a lead, not accepted evidence.",P212842,,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`."
mn_c54a0f61e6c6a105,3,Meluhha ship/work context,ship_labor_context,diagnostic,ma2 me-luh-ha,ok,https://cdli.earth/search?atf_transliteration=ma2%20me-luh-ha&format=json&limit=100,200,100369,1,false,8,7,8,0,1,7,7,7,7,0.000000,0.000000,candidate_only,Matched-negative gate did not reject this source-side cuneiform lead; it still requires duplicate-edition review and external-object linkage before any claim.,P212842|P217502|P227509|P227510|P326408|P382354|P461937,,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`."
mn_18492bb9970c81c3,3,Meluhha ship/work context,ship_labor_context,diagnostic,ma2 me-luh-ha-sze3,ok,https://cdli.earth/search?atf_transliteration=ma2%20me-luh-ha-sze3&format=json&limit=100,200,2471,1,false,1,1,1,0,1,1,1,1,1,0.000000,0.000000,false,"Singleton or non-replicated source-side hit; retained as a lead, not accepted evidence.",P382354,,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`."
mn_3b39a411d18165b7,3,Meluhha ship/work context,ship_labor_context,anchor,nu-banda3,ok,https://cdli.earth/search?atf_transliteration=nu-banda3&format=json&limit=100,200,5291945,5,true,500,483,500,0,1,0,0,0,0,1.000000,1.000000,false,Anchor is not Meluhha-diagnostic: 100.0% of query-line artifacts lack any Meluhha line.,,P005589|P010102|P010492|P010607|P010702|P010707|P010726|P010747|P010753|P010780|P010881|P010963|P010966|P010980|P010982|P011002|P011010|P011024|P011052|P011079|P011106|P020003|P020004|P020005|P020006|P020007|P020010|P020016|P020017|P020018|P020019|P020020|P020022|P020023|P020025|P020027|P020028|P020030|P020032|P020033|P020038|P020039|P020041|P020042|P020049|P020051|P020052|P020053|P020054|P020055|P020056|P020058|P020059|P020060|P020062|P020064|P020067|P020068|P020070|P020071|P020072|P020073|P020074|P020077|P020080|P020081|P020084|P020087|P020088|P020091|P020092|P020093|P020096|P020097|P020099|P020100|P020102|P020104|P020107|P020109|P020113|P020114|P020116|P020119|P020122|P020124|P020125|P020126|P020127|P020129|P020130|P020137|P020140|P020141|P020143|P020147|P020148|P020149|P020153|P020154|P020157|P020159|P020166|P020167|P020168|P020169|P020170|P020176|P020184|P020186|P020187|P020188|P020189|P020190|P020195|P020196|P020198|P020207|P020208|P020212|P020213|P020216|P020219|P020220|P020222|P020224|P020227|P020231|P020233|P020235|P020237|P020243|P020244|P020246|P020250|P020254|P020255|P020256|P020257|P020258|P020263|P020267|P020269|P020270|P020271|P020272|P020273|P020276|P020277|P020280|P020282|P020283|P020285|P020288|P020289|P020290|P020291|P020292|P020294|P020295|P020298|P020299|P020301|P020303|P020306|P020307|P020308|P020311|P020312|P020314|P020316|P020318|P020319|P020320|P020321|P020323|P020325|P020327|P020328|P020332|P020333|P020335|P020336|P020338|P020339|P020341|P020342|P020343|P020344|P020346|P020347|P020348|P020350|P020351|P020352|P020354|P020355|P020359|P020360|P020361|P020362|P020363|P020364|P020365|P020366|P020367|P020368|P020370|P020371|P020372|P020373|P020374|P020377|P020378|P020379|P020380|P020381|P020382|P020383|P020384|P020385|P020386|P020388|P020389|P020391|P020392|P020395|P020396|P020405|P020406|P020408|P020409|P020410|P020414|P020449|P020452|P020453|P020478|P020481|P020558|P100008|P100146|P100149|P100196|P100201|P100342|P100345|P100348|P100388|P100389|P100393|P100451|P100467|P100519|P100524|P100555|P100556|P100557|P100568|P100569|P100571|P100572|P100574|P100581|P100587|P100602|P100606|P100628|P100631|P100854|P100859|P100871|P100875|P100876|P100890|P100896|P100932|P100933|P100983|P100988|P101020|P101040|P101069|P101081|P101083|P101132|P101266|P101275|P101278|P101293|P101294|P101317|P101339|P101403|P101441|P101480|P101495|P101499|P101544|P101545|P101552|P101585|P101596|P101608|P101643|P101667|P101669|P101688|P101689|P101736|P101738|P101762|P101783|P101844|P101849|P101904|P101916|P101919|P101920|P101922|P101927|P101930|P101954|P101956|P101957|P101961|P101965|P101974|P101978|P101987|P102001|P102003|P102042|P102045|P102048|P102059|P102060|P102063|P102068|P102077|P102083|P102085|P102086|P102088|P102093|P102094|P102095|P102099|P102158|P102161|P102173|P102174|P102223|P102226|P102231|P102234|P102278|P102282|P102285|P102286|P102296|P102305|P102343|P102381|P102386|P102389|P102394|P102400|P102401|P102403|P102409|P102424|P102512|P102513|P102517|P102521|P102526|P102529|P102533|P102535|P102543|P102556|P102560|P102590|P102619|P102622|P102623|P102646|P102666|P102667|P102668|P102669|P102670|P102672|P102673|P102674|P102679|P102680|P102684|P102685|P102697|P102765|P102771|P102772|P102835|P102842|P102870|P102954|P103012|P103035|P103112|P103135|P103136|P103178|P103215|P103299|P103566|P103642|P103815|P103821|P103841|P103844|P103857|P103915|P103949|P104064|P104085|P104117|P104161|P104165|P104211|P104307|P104412|P104417|P104420|P104421|P104458|P104464|P104466|P104520|P104614|P104622|P104637|P104671|P104699|P104761|P104777|P104787|P104794|P104796|P104809|P104860|P104861|P104864|P104880|P104892|P104901|P104949|P104997|P105056|P105066|P105105|P105142|P105150|P105209|P105245|P105251|P105252|P105270|P105272|P105281|P105348|P105485|P105531|P105554|P105556|P105574|P105601|P105638|P105671|P105696|P105725|P105731,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`."
mn_309682690948f9c2,3,Meluhha ship/work context,ship_labor_context,diagnostic,nu-banda3 ma2 me-luh-ha,ok,https://cdli.earth/search?atf_transliteration=nu-banda3%20ma2%20me-luh-ha&format=json&limit=100,200,4059,1,false,1,1,1,0,1,1,1,1,1,0.000000,0.000000,false,"Singleton or non-replicated source-side hit; retained as a lead, not accepted evidence.",P326408,,"Several rows attach Meluhha to boats, laborers, or supervisors: `lu2-tukul`, `gurusz`, `nu-banda3`, and destination `ma2 me-luh-ha-sze3`."
mn_d23211657d9299ba,4,Carnelian from Meluhha,commodity_material_context,anchor,gug gi-rin,ok,https://cdli.earth/search?atf_transliteration=gug%20gi-rin&format=json&limit=100,200,2718575,1,false,8,8,8,0,1,4,4,4,4,0.500000,0.500000,false,Anchor is not Meluhha-diagnostic: 50.0% of query-line artifacts lack any Meluhha line.,P232300|P232301|P431881|P431882,P285457|P346099|P387610|P469521,Gudea material passages use `gug gi-rin(-e)` with Meluhha ablative/comitative marking.
mn_78a204a12e7c7a19,4,Carnelian from Meluhha,commodity_material_context,diagnostic,gug gi-rin me-luh-ha-da,ok,https://cdli.earth/search?atf_transliteration=gug%20gi-rin%20me-luh-ha-da&format=json&limit=100,200,2376438,1,false,2,2,2,0,1,2,2,2,2,0.000000,0.000000,candidate_only,Matched-negative gate did not reject this source-side cuneiform lead; it still requires duplicate-edition review and external-object linkage before any claim.,P232301|P431882,,Gudea material passages use `gug gi-rin(-e)` with Meluhha ablative/comitative marking.
mn_d36be66e7421d5cc,4,Carnelian from Meluhha,commodity_material_context,anchor,gug gi-rin-e,ok,https://cdli.earth/search?atf_transliteration=gug%20gi-rin-e&format=json&limit=100,200,257170,1,false,2,2,2,0,1,2,2,2,2,0.000000,0.000000,candidate_only,Matched-negative gate did not reject this source-side cuneiform lead; it still requires duplicate-edition review and external-object linkage before any claim.,P232300|P431881,,Gudea material passages use `gug gi-rin(-e)` with Meluhha ablative/comitative marking.
mn_3cf8cbadd5469aea,4,Carnelian from Meluhha,commodity_material_context,diagnostic,gug gi-rin-e me-luh-ha-ta,ok,https://cdli.earth/search?atf_transliteration=gug%20gi-rin-e%20me-luh-ha-ta&format=json&limit=100,200,257170,1,false,2,2,2,0,1,2,2,2,2,0.000000,0.000000,candidate_only,Matched-negative gate did not reject this source-side cuneiform lead; it still requires duplicate-edition review and external-object linkage before any claim.,P232300|P431881,,Gudea material passages use `gug gi-rin(-e)` with Meluhha ablative/comitative marking.
mn_43a20614184a8d22,5,Prestige-material chain,commodity_material_chain,diagnostic,ku3 NE gug gi-rin,ok,https://cdli.earth/search?atf_transliteration=ku3%20NE%20gug%20gi-rin&format=json&limit=100,200,2376438,1,false,2,2,2,0,1,2,2,2,2,0.000000,0.000000,candidate_only,Matched-negative gate did not reject this source-side cuneiform lead; it still requires duplicate-edition review and external-object linkage before any claim.,P232301|P431882,,The long Gudea chain gives one of the richest co-material contexts around Meluhha in readable cuneiform.
mn_ac1ab6c63f85d551,5,Prestige-material chain,commodity_material_chain,diagnostic,uruda nagga,ok,https://cdli.earth/search?atf_transliteration=uruda%20nagga&format=json&limit=100,200,3210002,1,false,11,9,11,0,1,5,5,2,2,0.444444,0.777778,false,Anchor is not Meluhha-diagnostic: 44.4% of query-line artifacts lack any Meluhha line.,P232300|P232301|P431881|P431882|P469679,P130149|P469530|P469674|P469681,The long Gudea chain gives one of the richest co-material contexts around Meluhha in readable cuneiform.
mn_f2c6804ca55f79bf,5,Prestige-material chain,commodity_material_chain,diagnostic,uruda nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,ok,https://cdli.earth/search?atf_transliteration=uruda%20nagga%20lagab%20za-gin3-na%20ku3%20NE%20gug%20gi-rin%20me-luh-ha-da&format=json&limit=100,200,2376438,1,false,2,2,2,0,1,2,2,2,2,0.000000,0.000000,candidate_only,Matched-negative gate did not reject this source-side cuneiform lead; it still requires duplicate-edition review and external-object linkage before any claim.,P232301|P431882,,The long Gudea chain gives one of the richest co-material contexts around Meluhha in readable cuneiform.
mn_5d10a8ca3066e932,5,Prestige-material chain,commodity_material_chain,anchor,za-gin3-na,ok,https://cdli.earth/search?atf_transliteration=za-gin3-na&format=json&limit=100,200,5915246,2,false,121,114,121,0,1,6,6,2,2,0.947368,0.982456,false,Anchor is not Meluhha-diagnostic: 94.7% of query-line artifacts lack any Meluhha line.,P232300|P232301|P348413|P431881|P431882|P469679,P220722|P222618|P225590|P226446|P226578|P226827|P227096|P247912|P255492|P256650|P256687|P256825|P274223|P278585|P285323|P285348|P285418|P285424|P285434|P285445|P305493|P308093|P345315|P345414|P345841|P346004|P346098|P346099|P346101|P346163|P346180|P346190|P346204|P346205|P346216|P346218|P346230|P346270|P346454|P346598|P346688|P346734|P346776|P348483|P368427|P387610|P394418|P394610|P394759|P424664|P425736|P429785|P431158|P432264|P432478|P448279|P450447|P462902|P462910|P464127|P465394|P469097|P469280|P469517|P469519|P469521|P469522|P469527|P469530|P469663|P469668|P469674|P469682|P469685|P469688|P469690|P469695|P469697|P469698|P469699|P469700|P472680|P473727|P478849|P478853|P478869|P478876|P478888|P478890|P478911|P478914|P478916|P478963|P478966|P479863|P479868|P479880|P479885|P480190|P480682|P480979|P480980|P481134|P491661|P491665|P516956|P518914|P518915,The long Gudea chain gives one of the richest co-material contexts around Meluhha in readable cuneiform.
mn_0f077a587545043c,6,Meluhha copper,commodity_material_context,diagnostic,ma-na uruda me-luh-ha,ok,https://cdli.earth/search?atf_transliteration=ma-na%20uruda%20me-luh-ha&format=json&limit=100,200,4805,1,false,1,1,1,0,1,1,1,1,1,0.000000,0.000000,false,"Singleton or non-replicated source-side hit; retained as a lead, not accepted evidence.",P136689,,"P136689 has `6(disz) ma-na uruda me-luh-ha` near `nagga`, giving a clean material-origin lead."
mn_06dbc3d952fd5cbf,6,Meluhha copper,commodity_material_context,matched_negative,nagga uruda,ok,https://cdli.earth/search?atf_transliteration=nagga%20uruda&format=json&limit=100,200,2,1,false,0,0,0,0,1,0,0,0,0,,,false,No parseable returned artifacts contain an exact query line after local normalization.,,,Matched material-control phrase near the copper lead.
mn_79908901563f004f,6,Meluhha copper,commodity_material_context,diagnostic,uruda me-luh-ha,ok,https://cdli.earth/search?atf_transliteration=uruda%20me-luh-ha&format=json&limit=100,200,25397,1,false,2,2,2,0,1,2,2,2,2,0.000000,0.000000,candidate_only,Matched-negative gate did not reject this source-side cuneiform lead; it still requires duplicate-edition review and external-object linkage before any claim.,P136689|P228742,,"P136689 has `6(disz) ma-na uruda me-luh-ha` near `nagga`, giving a clean material-origin lead."
mn_c82c24d58f696945,7,i3-dub Meluhha formula,administrative_formula,matched_negative,i3-dub me-luh-ha,ok,https://cdli.earth/search?atf_transliteration=i3-dub%20me-luh-ha&format=json&limit=100,200,42623,1,false,8,8,8,0,1,8,8,8,8,0.000000,0.000000,candidate_only,Matched-negative gate did not reject this source-side cuneiform lead; it still requires duplicate-edition review and external-object linkage before any claim.,P100892|P102031|P110574|P116633|P116995|P123010|P132876|P340534,,Meluhha-attached formula; retained as source-side cuneiform context only.
mn_39ddfc36937689a5,7,i3-dub Meluhha formula,administrative_formula,diagnostic,i3-dub me-luh-ha-ta,ok,https://cdli.earth/search?atf_transliteration=i3-dub%20me-luh-ha-ta&format=json&limit=100,200,9009,1,false,2,2,2,0,1,2,2,2,2,0.000000,0.000000,candidate_only,Matched-negative gate did not reject this source-side cuneiform lead; it still requires duplicate-edition review and external-object linkage before any claim.,P100892|P116633,,`i3-dub` recurs across multiple Meluhha-bearing administrative entries in the current line export.
mn_d0cf2809cb530d82,8,e2-duru5 Meluhha estate,estate_settlement_context,matched_negative,e2-duru5 me-luh-ha,ok,https://cdli.earth/search?atf_transliteration=e2-duru5%20me-luh-ha&format=json&limit=100,200,16508,1,false,5,5,5,0,1,5,5,5,5,0.000000,0.000000,candidate_only,Matched-negative gate did not reject this source-side cuneiform lead; it still requires duplicate-edition review and external-object linkage before any claim.,P115266|P218242|P235705|P374962|P378169,,Meluhha-attached estate phrase; retained as source-side cuneiform context only.
mn_4751185f1bab198d,8,e2-duru5 Meluhha estate,estate_settlement_context,diagnostic,e2-duru5 me-luh-ha-ta,ok,https://cdli.earth/search?atf_transliteration=e2-duru5%20me-luh-ha-ta&format=json&limit=100,200,14071,1,false,4,4,4,0,1,4,4,4,4,0.000000,0.000000,candidate_only,Matched-negative gate did not reject this source-side cuneiform lead; it still requires duplicate-edition review and external-object linkage before any claim.,P115266|P218242|P374962|P378169,,`e2-duru5` appears with Meluhha locative or ablative forms and may encode an estate/settlement context.
